,close,high,open,low
20240418,35151.56955125121,35218.61614167594,34691.821502624494,34610.407785680174
20240419,34476.31460483072,34696.61054479769,34576.88449046781,33959.098050125656
20240422,34940.851695630634,35046.21062344092,34869.01606303271,34648.72012306574
20240423,34897.75031607188,35103.67912951926,34998.32020170897,34840.28180999354
20240424,35544.2710094532,35668.78610595627,35419.75591295013,35410.17782860374
20240425,34955.218822150215,35252.139436888305,35151.56955125121,34945.64073780383
20240426,35343.13123817901,35458.06825033569,35295.24081644706,35098.890087346066
20240429,35678.114212826586,35721.80764430235,35707.243167143766,35488.776009764915
20240430,35843.178287290604,36022.806838913224,35678.114212826586,35639.27560707035
20240502,35682.969038546114,35784.92037865625,35581.017698435986,35581.017698435986
20240503,35648.985258509405,36071.35509610852,36047.08096751087,35644.130432789876
20240507,36484.01528226858,36517.99906230529,36236.419170572546,36236.419170572546
20240508,36619.95040241542,36644.224531013075,36479.16045654905,36416.04772219516
20240509,36231.56434485302,36663.64383389119,36624.80522813495,36149.032307621004
20240510,36382.06394215845,36644.224531013075,36532.56353946388,36314.09638208502
20240513,36314.09638208502,36561.69249378106,36469.45080510999,36158.74195906006
20240514,36343.2253364022,36445.17667651234,36411.19289647563,36280.11260204831
20240516,36741.321045403674,37086.01367149031,37013.19128569736,36692.77278820837
20240517,36299.531904926436,36678.208311049784,36653.93418245213,36294.67707920691
